Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-05-19,The Last Dance,2020,https://boxd.it/4gpXKX,4.5,,,2022-06-20
2022-08-29,Thor: Love and Thunder,2022,https://boxd.it/3aTljR,2.5,,,2022-08-28
2022-08-29,Hustle,2022,https://boxd.it/3aTlRT,3.5,,,2022-08-28
2022-08-29,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/3aTmZp,1.5,,,2022-08-28
2022-08-29,Top Gun: Maverick,2022,https://boxd.it/3aTn61,4.5,,,2022-08-28
2022-08-29,Everything Everywhere All at Once,2022,https://boxd.it/3aTnbF,5,,,2022-08-28
2022-08-29,The Batman,2022,https://boxd.it/3aTnop,4,,,2022-08-28
2022-08-29,jeen-yuhs: A Kanye Trilogy,2022,https://boxd.it/3aTnsr,4,,,2022-08-28
2022-08-29,Spider-Man: No Way Home,2021,https://boxd.it/3aTnwN,4,,,2022-08-28
2022-08-29,Eternals,2021,https://boxd.it/3aTnAF,1.5,,,2022-08-28
2022-08-29,No Time to Die,2021,https://boxd.it/3aTnFv,4,,,2022-08-28
2022-08-29,Squid Game,2021,https://boxd.it/3aTnL9,2,,,2022-08-28
2022-08-29,The Guilty,2021,https://boxd.it/3aTnQ9,2.5,,,2022-08-28
2022-08-29,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/3aTnYx,2.5,,,2022-08-28
2022-08-29,Free Guy,2021,https://boxd.it/3aTo4F,3,,,2022-08-28
2022-08-29,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/3aTog7,2.5,Yes,,2022-08-28
2022-08-29,Free Guy,2021,https://boxd.it/3aToid,3,Yes,,2022-08-28
2022-08-29,The Suicide Squad,2021,https://boxd.it/3aTokX,3,,,2022-08-28
2022-08-29,Black Widow,2021,https://boxd.it/3aTomp,2.5,,,2022-08-28
2022-08-29,Loki,2021,https://boxd.it/3aTooF,1.5,,,2022-08-28
2022-08-29,Godzilla vs. Kong,2021,https://boxd.it/3aTorT,2.5,,,2022-08-28
2022-08-29,Zack Snyder's Justice League,2021,https://boxd.it/3aToyl,3,,,2022-08-28
2022-08-29,WandaVision,2021,https://boxd.it/3aToAr,1.5,,,2022-08-28
2022-08-29,Wonder Woman 1984,2020,https://boxd.it/3aToCn,1,,,2022-08-28
2022-08-29,Borat Subsequent Moviefilm,2020,https://boxd.it/3aToEt,3,,,2022-08-28
2022-08-29,Soul,2020,https://boxd.it/3aToHx,4,,,2022-08-28
2022-08-29,Tenet,2020,https://boxd.it/3aToJD,4,,,2022-08-28
2022-08-29,Palm Springs,2020,https://boxd.it/3aToNl,3,,,2022-08-28
